No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
41,Accessibility,Focus management on route change,Move focus to main heading after navigation for screen readers,Focus main h1 after route change,Leave focus on nav link after navigation,"useEffect(() => { mainHeadingRef.current?.focus() } [location.pathname])","// no focus management on navigation",High,https://www.w3.org/WAI/WCAG21/Techniques/
42,Accessibility,ARIA labels for icon buttons,Every icon-only button must have an accessible label,aria-label or visually hidden text,Icon-only without any label,"<button aria-label=""Close dialog""><XIcon /></button>","<button><XIcon /></button>",Critical,
43,Accessibility,Keyboard trap in modals,Trap focus inside open modals/dialogs; release on close,Focus trap via Radix Dialog (built-in),Focus escapes modal to background,"Radix <Dialog> handles focus trap automatically","<div onClick={close}> (no focus trap)",Critical,https://www.radix-ui.com/primitives/docs/components/dialog
44,Accessibility,Skip to main content link,First focusable element on page jumps past navigation,Visually hidden skip link as first element,No skip link (keyboard users must tab through nav),"<a href=""#main"" className=""sr-only focus:not-sr-only"">Skip to content</a>","// no skip link",High,https://webaim.org/techniques/skipnav/
45,Accessibility,Color contrast minimum 4.5:1,All text must meet WCAG AA contrast against its background,Check contrast with design token pairs,Trust visual appearance alone,Use Tailwind Contrast Checker or axe DevTools,Deploy without contrast validation,Critical,https://webaim.org/resources/contrastchecker/
46,Animation,Tailwind transition utilities,Use Tailwind's transition/duration/ease utilities for simple state transitions,transition-colors duration-150 ease-in-out,CSS transition in style attribute,"className=""transition-colors duration-150 hover:bg-slate-700""","style={{ transition: 'background 0.15s' }}",Low,https://tailwindcss.com/docs/transition-property
47,Animation,Framer Motion for complex animations,Use Framer Motion for enter/exit animations layout animations and gestures,motion.div with variants for page/modal transitions,CSS keyframes for interactive animations,"<motion.div initial={{ opacity:0 }} animate={{ opacity:1 }} exit={{ opacity:0 }}>","@keyframes fadeIn { from { opacity: 0 } }",Medium,https://www.framer.com/motion/
48,Animation,Respect prefers-reduced-motion,Disable or minimise animations when user has reduced motion enabled,useReducedMotion hook from Framer Motion,Animate regardless of OS motion settings,"const shouldReduce = useReducedMotion(); const variants = shouldReduce ? {} : slideVariants","<motion.div animate={{ x: 100 }}>",High,https://www.framer.com/motion/use-reduced-motion/
49,Animation,Exit animations via AnimatePresence,Wrap conditional/list renders in AnimatePresence for exit animations,AnimatePresence around conditionally rendered motion elements,Remove elements from DOM without exit animation,"<AnimatePresence>{isOpen && <motion.div exit={{ opacity: 0 }}>}","{ isOpen && <div className=""modal""> }",Low,https://www.framer.com/motion/animate-presence/
50,State,Zustand for global client state,Use Zustand for shared UI state (sidebar open auth user toast queue),create() store for cross-component state,Context + useReducer for frequently-updating state,"const useStore = create((set) => ({ sidebarOpen: false, toggle: () => set(s => ...) }))","const SidebarCtx = createContext(); ... useReducer",Medium,https://zustand.pmnd.rs/
51,State,URL state for shareable filters,Persist filter/sort/search state in URL params so links are shareable,useSearchParams for all list filters,useState for filters (breaks back button and sharing),"const [params setParams] = useSearchParams(); params.get('sort')","const [sort setSort] = useState('score')",High,https://reactrouter.com/en/main/hooks/use-search-params
52,State,Avoid prop drilling beyond 2 levels,Pass data more than 2 levels via context or Zustand,Context or Zustand for deep data,Pass props 5 levels deep,"const useVendorStore = create(..); useVendorStore() in any child","<A vendor={v}><B vendor={v}><C vendor={v}>",Medium,
53,Testing,Testing Library for component tests,Use @testing-library/react with user-event for realistic tests,userEvent over fireEvent; query by role/label not class,Select elements by className or test-id exclusively,"screen.getByRole('button' { name: /submit/i })","container.querySelector('.btn-primary')",Medium,https://testing-library.com/
54,Error Handling,Error boundaries for route sections,Wrap each major route section in an ErrorBoundary,ErrorBoundary around each page/section,No error boundaries (one crash takes down whole app),"<ErrorBoundary fallback={<SectionError />}><Dashboard /></ErrorBoundary>","<Dashboard /> // unguarded",High,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary
55,Error Handling,Axios error interceptor for 401,Centralise token refresh and logout in Axios response interceptor,interceptors.response for auth errors,Check response.status in every component,"api.interceptors.response.use(null err => { if (err.response?.status === 401) refreshOrLogout() })","if (error.response.status === 401) navigate('/login') in every mutation",Critical,
